Date,Date,Portfolio Value,SPY Value
2024-12-16,2024-12-16,1.0004028720518683,1.004270039755754
2024-12-17,2024-12-17,0.9986656032662039,1.0001323044667276
2024-12-18,2024-12-18,0.9685195278912148,0.9703248442738597
2024-12-19,2024-12-19,0.9705266962834268,0.9700268013677461
2024-12-20,2024-12-20,0.9823512939616134,0.9816778762495182
2024-12-23,2024-12-23,0.9830347126541555,0.9875565297417683
2024-12-24,2024-12-24,0.9928887480380469,0.9985330972301847
2024-12-26,2024-12-26,0.9914239786017939,0.9985996584418073
2024-12-27,2024-12-27,0.9833818019977256,0.9880877924999728
2024-12-30,2024-12-30,0.9728899737636604,0.9768121596597957
2024-12-31,2024-12-31,0.9727686754652719,0.9732584453243613
2025-01-02,2025-01-02,0.9679056516649341,0.9708671494450524
2025-01-03,2025-01-03,0.9727488661401286,0.9830063398787237
2025-01-06,2025-01-06,0.9717283705500547,0.9886690528503178
2025-01-07,2025-01-07,0.9689448383565702,0.9774931084607276
2025-01-08,2025-01-08,0.9775357713441818,0.97892126054052
2025-01-10,2025-01-10,0.9565969607223317,0.9639755590502748
2025-01-13,2025-01-13,0.9617853855268543,0.9654701700971251
2025-01-14,2025-01-14,0.9646846928450904,0.9667986337263306
2025-01-15,2025-01-15,0.9803341176384229,0.9843846988555048
2025-01-16,2025-01-16,0.9820598645583823,0.9824915384954364
2025-01-17,2025-01-17,0.9907747787575322,0.9923556851198679
2025-01-21,2025-01-21,1.00473329924697,1.0014391944927805
2025-01-22,2025-01-22,1.0023933823091657,1.0070687802254104
2025-01-23,2025-01-23,1.0129887123773929,1.0125654480239243
2025-01-24,2025-01-24,1.0078777046759337,1.0096094554137525
2025-01-27,2025-01-27,1.0263680003537863,0.9953282413495218
2025-01-28,2025-01-28,1.0210825906646683,1.003880385719665
2025-01-29,2025-01-29,1.0180471520562748,0.9993800912041964
2025-01-30,2025-01-30,1.031853788874159,1.0047439433131593
2025-01-31,2025-01-31,1.0276372231324968,0.9993967570682433
2025-02-03,2025-02-03,1.028949464847371,0.9926712118465458
2025-02-04,2025-02-04,1.0321758459999941,0.9993302981011853
2025-02-05,2025-02-05,1.034524852368855,1.00338214795586
2025-02-06,2025-02-06,1.0310934616854228,1.0068695055688013
2025-02-07,2025-02-07,1.0204669048237014,0.9976530782617729
2025-02-10,2025-02-10,1.0268283168336245,1.0044283143419166
2025-02-11,2025-02-11,1.0287532652025122,1.0051923879739533
2025-02-12,2025-02-12,1.0182177853703014,1.0019539958760677
2025-02-13,2025-02-13,1.0290719774954018,1.0125322185403955
2025-02-14,2025-02-14,1.0249318790695405,1.0124824254373845
2025-02-18,2025-02-18,1.0166121937278552,1.0154548794224738
2025-02-19,2025-02-19,1.0174929229703242,1.0178461753017827
2025-02-20,2025-02-20,1.0116703370663953,1.0136116144099812
2025-02-21,2025-02-21,0.9984650391201064,0.9962747192849918
2025-02-24,2025-02-24,0.9991388108946939,0.9917411952859942
2025-02-25,2025-02-25,1.0133607679003374,0.9868091219737785
2025-02-26,2025-02-26,1.0026844768583068,0.9873073597375834
2025-02-27,2025-02-27,1.0052584239775268,0.9715479960014197
2025-02-28,2025-02-28,1.006986872035386,0.9867095357677561
2025-03-03,2025-03-03,0.996812838054532,0.9694224337457779
2025-03-04,2025-03-04,0.9764470863261594,0.9579475262489917
2025-03-05,2025-03-05,0.991613805528797,0.9682433494256055
2025-03-06,2025-03-06,0.9758418016149973,0.9510560380987788
2025-03-07,2025-03-07,0.9769547040634113,0.9563864562350833
2025-03-10,2025-03-10,0.9701502127318226,0.9309126319172156
2025-03-11,2025-03-11,0.9510541593736745,0.923174047548426
2025-03-12,2025-03-12,0.9436128167137119,0.9280729936216774
2025-03-13,2025-03-13,0.9335896750487225,0.9157011968033033
2025-03-14,2025-03-14,0.9497033830011817,0.9346157255616832
2025-03-17,2025-03-17,0.9598344334806913,0.9418229449277036
2025-03-18,2025-03-18,0.9593326540856816,0.931643271576594
2025-03-19,2025-03-19,0.9699393651516296,0.9417897154441746
2025-03-20,2025-03-20,0.9685303492735522,0.9390662269741408
2025-03-21,2025-03-21,0.96149441454012,0.9393760280051955
2025-03-24,2025-03-24,0.9889287926596408,0.9561988374588506
2025-03-25,2025-03-25,0.9953544048452053,0.9584973975179724
2025-03-26,2025-03-26,0.991938550074803,0.9470545948145034
2025-03-27,2025-03-27,1.0004561120565034,0.9445394807673374
2025-03-28,2025-03-28,0.9787345263100983,0.9255181064388414
2025-03-31,2025-03-31,0.9884930893035541,0.9317308951685457
2025-04-01,2025-04-01,0.9891831923728028,0.9343624657749102
2025-04-02,2025-04-02,0.9950779950456801,0.9402755756854657
2025-04-03,2025-04-03,0.9609255806383319,0.8939379299831268
2025-04-04,2025-04-04,0.9035625188059013,0.8416042029059748
2025-04-07,2025-04-07,0.8983377671048948,0.8401051442205598
2025-04-08,2025-04-08,0.887848942674704,0.8269467799659139
2025-04-09,2025-04-09,0.9553635138989823,0.9137921885357057
2025-04-10,2025-04-10,0.9265855404167809,0.8737506608833052
2025-04-11,2025-04-11,0.9408892417551759,0.889340809864883
2025-04-14,2025-04-14,0.94571637067326,0.8979687174574724
2025-04-15,2025-04-15,0.9428234431993427,0.8954536034103063
2025-04-16,2025-04-16,0.9286003037165571,0.8755494495101516
2025-04-17,2025-04-17,0.9302363085470017,0.8767986736017112
2025-04-21,2025-04-21,0.8929907784140607,0.8559285130542282
2025-04-22,2025-04-22,0.92159981706434,0.8781978904696921
2025-04-23,2025-04-23,0.9374266695988873,0.8918059263199083
